recipientName,integrated,genderOnly,climateOnly,neither,totalFunding,totalProjects,integratedShare
"Bilateral, unspecified",8449,41847,12909,0,123825.22,63205,0.1337
India,2586,10567,3250,0,66846.87,16403,0.1577
Bangladesh,1668,6744,943,0,42664.02,9355,0.1783
Indonesia,1182,4097,1944,0,32855.12,7223,0.1636
Türkiye,232,2536,893,0,29613.69,3661,0.0634
Philippines,1183,3425,927,0,27172.54,5535,0.2137
"Africa, regional",1566,5334,2072,0,26361.99,8972,0.1745
Afghanistan,505,5354,314,0,23586.72,6173,0.0818
Pakistan,789,5250,728,0,21795.89,6767,0.1166
"South of Sahara, regional",2127,6270,1958,0,20891.47,10355,0.2054
Ethiopia,2566,8234,1153,0,20801.25,11953,0.2147
China,559,3760,2902,0,19074.77,7221,0.0774
Ukraine,257,4456,1078,0,18795.87,5791,0.0444
Brazil,1336,3883,1656,0,16524.8,6875,0.1943
Kenya,2281,6969,1601,0,16267.73,10851,0.2102
Egypt,383,3377,986,0,15758.8,4746,0.0807
Morocco,673,4700,1005,0,15511.18,6378,0.1055
Viet Nam,918,3709,1796,0,14923.55,6423,0.1429
Colombia,1126,7172,1208,0,14875.32,9506,0.1185
Mexico,467,2668,921,0,14314.27,4056,0.1151
Uzbekistan,155,1521,295,0,13854.24,1971,0.0786
Jordan,465,3516,734,0,13463.58,4715,0.0986
Nigeria,605,4955,516,0,12887.09,6076,0.0996
Tanzania,1722,6262,1028,0,12765.08,9012,0.1911
Democratic Republic of the Congo,1224,7125,617,0,11989.27,8966,0.1365
Mozambique,1746,5902,1046,0,11173.54,8694,0.2008
"Asia, regional",1161,3166,1215,0,10424.55,5542,0.2095
"Europe, regional",543,3314,735,0,10232.35,4592,0.1182
Cambodia,943,3811,658,0,9991.25,5412,0.1742
Myanmar,932,4745,640,0,9662.15,6317,0.1475
West Bank and Gaza Strip,691,6666,577,0,9295.48,7934,0.0871
Argentina,244,1642,253,0,9273.09,2139,0.1141
Tunisia,352,3097,912,0,9235.77,4361,0.0807
Georgia,481,2757,720,0,8982.41,3958,0.1215
Nepal,1422,5511,656,0,8903.87,7589,0.1874
Peru,1573,4869,1330,0,8769.06,7772,0.2024
Uganda,1736,5700,1041,0,8411.27,8477,0.2048
Syrian Arab Republic,104,3484,34,0,8366.16,3622,0.0287
Lebanon,271,4013,484,0,7935.74,4768,0.0568
Serbia,258,2005,916,0,7827.93,3179,0.0812
South Africa,537,3737,1060,0,7792.02,5334,0.1007
Senegal,1493,4898,862,0,7776.41,7253,0.2058
Iraq,194,2990,181,0,7433.82,3365,0.0577
South Sudan,437,3422,272,0,7381.28,4131,0.1058
Yemen,176,2794,78,0,7328.36,3048,0.0577
Sri Lanka,315,2648,389,0,7265.16,3352,0.094
Somalia,796,3642,210,0,7248.16,4648,0.1713
"America, regional",543,2312,867,0,7162.74,3722,0.1459
Rwanda,665,3327,498,0,7142.06,4490,0.1481
Burkina Faso,1458,4683,666,0,6894.68,6807,0.2142
Mali,1435,5283,468,0,6760.09,7186,0.1997
Ecuador,864,2619,634,0,6753.82,4117,0.2099
Niger,859,3316,406,0,6565.05,4581,0.1875
Angola,254,1394,136,0,6369.23,1784,0.1424
Papua New Guinea,213,1239,199,0,6257.31,1651,0.129
Malawi,817,3495,443,0,6076.46,4755,0.1718
Zambia,896,3056,487,0,5713.46,4439,0.2018
Ghana,728,3275,764,0,5662.6,4767,0.1527
Kazakhstan,54,692,279,0,5549.21,1025,0.0527
Thailand,168,1089,335,0,5320.16,1592,0.1055
Bolivia,1940,5201,953,0,5218.88,8094,0.2397
El Salvador,867,3824,341,0,5014.27,5032,0.1723
Dominican Republic,354,1826,301,0,5006.28,2481,0.1427
Mongolia,208,1570,474,0,4557.54,2252,0.0924
Sudan,291,2739,134,0,4322.25,3164,0.092
Honduras,967,2679,451,0,4254.04,4097,0.236
Côte D'Ivoire,258,2134,314,0,4236.77,2706,0.0953
Cameroon,577,2974,485,0,4081.64,4036,0.143
Haiti,1059,3025,502,0,3996.91,4586,0.2309
Benin,784,2233,349,0,3919.36,3366,0.2329
Albania,334,1814,507,0,3748.43,2655,0.1258
Madagascar,624,2462,664,0,3738.8,3750,0.1664
Guatemala,1133,5193,429,0,3727.33,6755,0.1677
Paraguay,333,1440,219,0,3696.95,1992,0.1672
Zimbabwe,651,3556,214,0,3677.65,4421,0.1473
Nicaragua,998,3377,556,0,3628.66,4931,0.2024
Burundi,529,2083,201,0,3474.65,2813,0.1881
Panama,68,783,91,0,3435.67,942,0.0722
Lao People's Democratic Republic,523,2260,416,0,3368.08,3199,0.1635
Moldova,225,2051,331,0,3345.71,2607,0.0863
Azerbaijan,55,1024,140,0,3144.25,1219,0.0451
Chad,622,2609,315,0,3105.03,3546,0.1754
"Middle East, regional",203,1924,193,0,3070.55,2320,0.0875
Costa Rica,101,823,230,0,3038.22,1154,0.0875
Bosnia and Herzegovina,275,2225,465,0,3008.19,2965,0.0927
Tajikistan,212,1748,325,0,2988.65,2285,0.0928
Central African Republic,111,1997,67,0,2954.53,2175,0.051
North Macedonia,200,1283,358,0,2901.26,1841,0.1086
Armenia,208,1602,428,0,2792.28,2238,0.0929
