INJ_ID,INJ_NO,SPC_DATETIME,PROC_QTY,CV_001,CV_002,CV_003,CV_004,CV_005,CV_006,CV_007,CV_013,CV_014,CV_015,CV_016,CV_017,CV_018,CV_019,CV_020,DAY_COUNT,SV_001,SV_002,SV_003,SV_004,SV_005,SV_008,SV_009,SV_010,SV_011,SV_012,SV_013,SV_014,SV_015,SV_016,SV_017,SV_018,SV_019,SV_020,SV_021,SV_022,SV_023,SV_024,SV_025,SV_028,SV_031,SV_032,SV_033,SV_034,SV_037,SV_038,SV_039,SV_040,SV_041,SV_042,SV_043,SV_044,SV_045,SV_046,SV_049,SV_050,SV_051,SV_055,SV_056,SV_057,SV_058,SV_059,SV_060,SV_063,MOLD_CAVITY,stock_mst_code,weight
2678317,12,2023-12-05 16:17,871,103.8,511.4,24,0.2,0.1,61.6,389,159,171,155,158,148,19,19,19,296,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,389,6,6,35,30,35,50,65,1,ST00000131,2923.2
2678337,12,2023-12-05 16:19,1644,70.1,259,13.6,0,2.3,30.2,264.1,200,189,186,164,624,624,624,11,350,200,190,180,165,0,55,45,35,35,0,100,88,70,80,0,0,0,0,0,0,9,3,1.5,0,0,0,0,0,0,0,0,60,70,0,0,0,125,140,0,1,264,1,1,0,0,0,50,46,1,ST00000616,1328.7
2678493,12,2023-12-05 16:36,353,80.6,451.1,15,0,0.2,45.8,302.3,199,196,188,174,152,625,625,11,354,200,195,185,170,150,45,35,35,30,0,120,90,62,40,0,0,0,0,0,0,9,4,2,20,50,0,0,0,0,0,0,55,70,0,0,0,140,140,0,6,302,4,6,0,50,140,100,50,0,ST00000153,1462.6
2678974.285,12,2023-12-05 17:22,890.504008,104.2876002,510.9123998,24,0.10247996,0.19752004,60.52727956,387.9272796,158.0247996,167.0991984,158.9008016,157.0247996,148.9752004,18.0247996,18.0247996,18.0247996,315.504008,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0247996,6,6,35,30,35,50,65,1,ST00000131,2936.657766
2678974.454,12,2023-12-05 17:22,890.509018,104.2877255,510.9122745,24,0.10245491,0.19754509,60.52700401,387.927004,158.0245491,167.0981964,158.9018036,157.0245491,148.9754509,18.0245491,18.0245491,18.0245491,315.509018,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0245491,6,6,35,30,35,50,65,1,ST00000131,2936.661222
2678974.623,12,2023-12-05 17:22,890.5140281,104.2878507,510.9121493,24,0.10242986,0.19757014,60.52672846,387.9267285,158.0242986,167.0971944,158.9028056,157.0242986,148.9757014,18.0242986,18.0242986,18.0242986,315.5140281,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0242986,6,6,35,30,35,50,65,1,ST00000131,2936.664679
2678974.792,12,2023-12-05 17:22,890.5190381,104.287976,510.912024,24,0.10240481,0.19759519,60.52645291,387.9264529,158.0240481,167.0961924,158.9038076,157.0240481,148.9759519,18.0240481,18.0240481,18.0240481,315.5190381,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0240481,6,6,35,30,35,50,65,1,ST00000131,2936.668136
2678974.96,12,2023-12-05 17:22,890.5240481,104.2881012,510.9118988,24,0.10237976,0.19762024,60.52617735,387.9261774,158.0237976,167.0951904,158.9048096,157.0237976,148.9762024,18.0237976,18.0237976,18.0237976,315.5240481,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0237976,6,6,35,30,35,50,65,1,ST00000131,2936.671593
2678975.129,12,2023-12-05 17:22,890.5290581,104.2882265,510.9117735,24,0.102354709,0.197645291,60.5259018,387.9259018,158.0235471,167.0941884,158.9058116,157.0235471,148.9764529,18.02354709,18.02354709,18.02354709,315.5290581,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0235471,6,6,35,30,35,50,65,1,ST00000131,2936.67505
2678975.298,12,2023-12-05 17:22,890.5340681,104.2883517,510.9116483,24,0.102329659,0.197670341,60.52562625,387.9256263,158.0232966,167.0931864,158.9068136,157.0232966,148.9767034,18.02329659,18.02329659,18.02329659,315.5340681,160,165,155,153,150,30,25,25,20,0,140,135,90,70,0,0,0,0,0,0,18,4,2,60,60,60,60,0,65,65,40,45,52,100,100,100,120,125,1,10,388.0232966,6,6,35,30,35,50,65,1,ST00000131,2936.678507
